t,q1,q2,q3,q4
0,1.5708,9.15255e-20,-5.39308e-20,1.85758e-19
0.030303,1.6098,-0.0853831,0.0512457,0.0219616
0.0606061,1.64876,-0.170687,0.102425,0.0438961
0.0909091,1.68763,-0.255833,0.153472,0.0657765
0.121212,1.72635,-0.340742,0.204321,0.0875755
0.151515,1.76488,-0.425335,0.254904,0.109266
0.181818,1.80317,-0.509533,0.305157,0.130821
0.212121,1.84118,-0.593256,0.355012,0.152214
0.242424,1.87885,-0.676427,0.404403,0.173417
0.272727,1.91615,-0.758965,0.453265,0.194403
0.30303,1.95301,-0.840793,0.501531,0.215145
0.333333,1.98941,-0.92183,0.549135,0.235616
0.363636,2.02527,-1.002,0.596011,0.255789
0.393939,2.06057,-1.08122,0.642092,0.275637
0.424242,2.09525,-1.15941,0.687312,0.295132
0.454545,2.12926,-1.2365,0.731605,0.314248
0.484848,2.16256,-1.3124,0.774905,0.332958
0.515152,2.1951,-1.38703,0.817146,0.351234
0.545455,2.22683,-1.46033,0.858261,0.369049
0.575758,2.2577,-1.5322,0.898184,0.386377
0.606061,2.28767,-1.60257,0.936849,0.40319
0.636364,2.31669,-1.67136,0.97419,0.41946
0.666667,2.34471,-1.73849,1.01014,0.435162
0.69697,2.37168,-1.80388,1.04463,0.450267
0.727273,2.39756,-1.86745,1.0776,0.464749
0.757576,2.4223,-1.92913,1.10899,0.478581
0.787879,2.44584,-1.98883,1.13871,0.491735
0.818182,2.46816,-2.04648,1.16672,0.504185
0.848485,2.48918,-2.102,1.19293,0.515903
0.878788,2.50888,-2.1553,1.2173,0.526862
0.909091,2.5272,-2.20631,1.23974,0.537035
0.939394,2.54409,-2.25495,1.26019,0.546395
0.969697,2.5595,-2.30114,1.2786,0.554915
1,2.57339,-2.3448,1.29488,0.562568
1.0303,2.58594,-2.38607,1.30931,0.569455
1.06061,2.59737,-2.42513,1.3222,0.575696
1.09091,2.6077,-2.462,1.33356,0.581293
1.12121,2.61695,-2.49667,1.34339,0.586248
1.15152,2.62515,-2.52917,1.35169,0.590563
1.18182,2.63232,-2.5595,1.35848,0.594241
1.21212,2.63849,-2.58766,1.36375,0.597282
1.24242,2.64367,-2.61366,1.36752,0.59969
1.27273,2.6479,-2.63752,1.36979,0.601466
1.30303,2.65118,-2.65924,1.37057,0.602612
1.33333,2.65355,-2.67882,1.36985,0.60313
1.36364,2.65503,-2.69628,1.36766,0.603022
1.39394,2.65564,-2.71163,1.36398,0.60229
1.42424,2.65541,-2.72486,1.35884,0.600937
1.45455,2.65435,-2.736,1.35223,0.598963
1.48485,2.65249,-2.74504,1.34416,0.596372
1.51515,2.64986,-2.75201,1.33464,0.593164
1.54545,2.64647,-2.75689,1.32367,0.589343
1.57576,2.64235,-2.75971,1.31125,0.584909
1.60606,2.63753,-2.76046,1.29741,0.579866
1.63636,2.63202,-2.75917,1.28213,0.574214
1.66667,2.62584,-2.75583,1.26542,0.567957
1.69697,2.61903,-2.75045,1.2473,0.561096
1.72727,2.61161,-2.74305,1.22776,0.553632
1.75758,2.60358,-2.73362,1.20682,0.545569
1.78788,2.59499,-2.72219,1.18447,0.536908
1.81818,2.58586,-2.70875,1.16073,0.52765
1.84848,2.5762,-2.69332,1.1356,0.517799
1.87879,2.56603,-2.67589,1.10908,0.507356
1.90909,2.55539,-2.65649,1.08119,0.496322
1.93939,2.5443,-2.63511,1.05192,0.484701
1.9697,2.53277,-2.61178,1.02128,0.472493
2,2.52083,-2.58648,0.989289,0.459701
2.0303,2.50853,-2.55896,0.955918,0.446307
2.06061,2.49591,-2.52898,0.921181,0.432304
2.09091,2.48298,-2.49662,0.885123,0.417712
2.12121,2.46975,-2.46195,0.847784,0.402548
2.15152,2.45622,-2.42507,0.809208,0.386833
2.18182,2.44242,-2.38603,0.769438,0.370584
2.21212,2.42834,-2.34492,0.728516,0.353822
2.24242,2.414,-2.30181,0.686484,0.336565
2.27273,2.39941,-2.25678,0.643387,0.318832
2.30303,2.38458,-2.20991,0.599265,0.300643
2.33333,2.36952,-2.16128,0.554162,0.282016
2.36364,2.35423,-2.11096,0.508121,0.26297
2.39394,2.33874,-2.05902,0.461183,0.243525
2.42424,2.32304,-2.00555,0.413393,0.223699
2.45455,2.30716,-1.95062,0.364791,0.203511
2.48485,2.29109,-1.89431,0.315422,0.182981
2.51515,2.27485,-1.8367,0.265328,0.162127
2.54545,2.25845,-1.77785,0.214551,0.140969
2.57576,2.2419,-1.71786,0.163135,0.119526
2.60606,2.22521,-1.65679,0.111121,0.0978156
2.63636,2.20839,-1.59472,0.0585521,0.0758583
2.66667,2.19145,-1.53173,0.00547157,0.0536725
2.69697,2.1744,-1.46789,-0.0480782,0.0312775
2.72727,2.15724,-1.40329,-0.102055,0.00869209
2.75758,2.14,-1.338,-0.156415,-0.0140646
2.78788,2.12267,-1.27209,-0.211116,-0.0369734
2.81818,2.10528,-1.20565,-0.266117,-0.0600155
2.84848,2.08783,-1.13875,-0.321373,-0.0831718
2.87879,2.07032,-1.07146,-0.376842,-0.106423
2.90909,2.05278,-1.00386,-0.432482,-0.129751
2.93939,2.0352,-0.936035,-0.488251,-0.153136
2.9697,2.01761,-0.868056,-0.544104,-0.176558
3,2,-0.8,-0.6,-0.2
